	values
lev_allscript	14.0
lev_allother	93.0
condensation	0.0
expansion	0.0
deletion	0.0
to be confirmed	0.0
insertion	0.0
capitalization	0.0
whitespace	0.0
italics	0.0
punctuation	0.0
hyphenation	0.0
numbers	0.0
script-identifiable	0.0
other edits	0.0
